hour,date,plaza,count,revenue,passCount,passRevenue,cashCount,cashRevenue
0,11,HLC,1373,11790.56,1174,9939.06,199,1851.50
1,11,HLC,1051,8970.29,885,7479.29,166,1491.00
2,11,HLC,466,3977.50,388,3246.50,78,731.00
3,11,HLC,301,2583.78,254,2150.28,47,433.50
4,11,HLC,245,2185.00,193,1659.50,52,525.50
5,11,HLC,281,2524.04,238,2004.54,43,519.50
6,11,HLC,501,4266.33,446,3651.83,55,614.50
7,11,HLC,766,6712.59,650,5464.59,116,1248.00
8,11,HLC,1235,10678.47,1062,8989.97,173,1688.50
9,11,HLC,1794,15694.58,1552,13238.08,242,2456.50
10,11,HLC,2403,20810.86,2060,17655.86,343,3155.00
11,11,HLC,3026,26103.92,2603,22143.92,423,3960.00
12,11,HLC,3028,25982.38,2618,22212.38,410,3770.00
13,11,HLC,3309,28323.88,2805,23736.88,504,4587.00
14,11,HLC,3370,28812.25,2873,24280.25,497,4532.00
15,11,HLC,3513,30136.26,2993,25439.26,520,4697.00
16,11,HLC,3825,32663.51,3294,27857.01,531,4806.50
17,11,HLC,4157,35620.84,3590,30432.34,567,5188.50
18,11,HLC,3900,33163.81,3354,28395.81,546,4768.00
19,11,HLC,3014,25785.57,2538,21235.57,476,4550.00
20,11,HLC,3154,26930.70,2725,23124.20,429,3806.50
21,11,HLC,2678,22781.32,2324,19686.82,354,3094.50
22,11,HLC,2152,18340.52,1832,15421.02,320,2919.50
23,11,HLC,960,8211.81,823,6919.81,137,1292.00
0,12,HLC,504,4361.73,422,3571.23,82,790.50
1,12,HLC,184,1594.29,155,1285.79,29,308.50
2,12,HLC,104,973.26,89,792.26,15,181.00
3,12,HLC,102,1109.78,68,627.78,34,482.00
4,12,HLC,172,1640.83,141,1253.33,31,387.50
5,12,HLC,799,7408.03,675,5703.03,124,1705.00
6,12,HLC,2808,25326.10,2403,20527.60,405,4798.50
7,12,HLC,3420,31398.79,2881,24766.29,539,6632.50
8,12,HLC,3682,33697.91,3134,26879.41,548,6818.50
9,12,HLC,3558,32487.34,3024,26121.84,534,6365.50
10,12,HLC,2741,25269.53,2287,19988.53,454,5281.00
11,12,HLC,2600,23830.12,2160,18727.12,440,5103.00
12,12,HLC,2654,24137.56,2220,19263.06,434,4874.50
13,12,HLC,2820,25587.33,2335,20168.83,485,5418.50
14,12,HLC,3244,29106.84,2719,23404.84,525,5702.00
15,12,HLC,3541,31698.52,3007,25738.02,534,5960.50
16,12,HLC,3682,32537.41,3197,27284.41,485,5253.00
17,12,HLC,3892,34294.93,3388,28957.93,504,5337.00
18,12,HLC,3687,32197.82,3218,27293.82,469,4904.00
19,12,HLC,2867,24755.02,2480,20900.02,387,3855.00
20,12,HLC,2014,17320.91,1746,14728.41,268,2592.50
21,12,HLC,1588,13583.50,1365,11501.50,223,2082.00
22,12,HLC,1371,11829.83,1185,10039.83,186,1790.00
23,12,HLC,789,6770.11,684,5747.61,105,1022.50
0,13,HLC,404,3486.60,348,2886.60,56,600.00
1,13,HLC,180,1500.54,147,1203.04,33,297.50
2,13,HLC,110,1004.52,94,798.02,16,206.50
3,13,HLC,102,931.32,83,716.32,19,215.00
4,13,HLC,223,2165.57,187,1710.07,36,455.50
5,13,HLC,1166,10714.41,984,8389.91,182,2324.50
6,13,HLC,3412,30545.84,2887,24424.84,525,6121.00
7,13,HLC,3923,35533.74,3333,28462.74,590,7071.00
8,13,HLC,3785,34603.61,3198,27288.11,587,7315.50
9,13,HLC,3536,32292.13,3028,26030.13,508,6262.00
10,13,HLC,3500,31954.34,2936,25316.84,564,6637.50
11,13,HLC,2714,24866.02,2226,19164.02,488,5702.00
12,13,HLC,2860,26022.75,2368,20394.75,492,5628.00
13,13,HLC,3014,27139.57,2538,21744.07,476,5395.50
14,13,HLC,3547,31846.74,2967,25286.24,580,6560.50
15,13,HLC,4161,37397.16,3477,29603.66,684,7793.50
16,13,HLC,4072,36306.76,3463,29559.76,609,6747.00
17,13,HLC,3971,35283.21,3449,29298.71,522,5984.50
18,13,HLC,4133,35925.90,3640,30721.90,493,5204.00
19,13,HLC,3503,30185.68,3092,26110.68,411,4075.00
20,13,HLC,2425,21055.96,2101,17698.46,324,3357.50
21,13,HLC,1807,15774.13,1575,13314.13,232,2460.00
22,13,HLC,1498,13245.66,1323,11333.16,175,1912.50
23,13,HLC,937,8354.60,825,7116.60,112,1238.00
0,14,HLC,641,5927.81,558,4899.31,83,1028.50
1,14,HLC,220,2151.82,187,1721.32,33,430.50
2,14,HLC,149,1560.08,117,1083.08,32,477.00
3,14,HLC,85,822.76,69,607.76,16,215.00
4,14,HLC,214,2217.56,162,1479.56,52,738.00
5,14,HLC,1082,10063.54,928,7894.04,154,2169.50
6,14,HLC,3532,31998.96,2991,25480.46,541,6518.50
7,14,HLC,4254,38714.72,3641,31094.22,613,7620.50
8,14,HLC,3986,36654.20,3389,29018.70,597,7635.50
9,14,HLC,3720,33739.07,3127,26623.07,593,7116.00
10,14,HLC,2946,26779.97,2476,21273.97,470,5506.00
11,14,HLC,2769,24754.59,2335,19879.59,434,4875.00
12,14,HLC,3003,27429.23,2472,21345.23,531,6084.00
13,14,HLC,2902,26401.11,2451,21315.11,451,5086.00
14,14,HLC,3399,30465.92,2859,24375.42,540,6090.50
15,14,HLC,3829,34350.90,3247,27619.90,582,6731.00
16,14,HLC,4197,37636.88,3614,31044.88,583,6592.00
17,14,HLC,4067,35995.47,3543,30173.97,524,5821.50
18,14,HLC,4121,35894.19,3647,30946.69,474,4947.50
19,14,HLC,3714,32073.17,3208,27008.17,506,5065.00
20,14,HLC,2151,18812.94,1851,15658.94,300,3154.00
21,14,HLC,2067,17840.37,1804,15262.87,263,2577.50
22,14,HLC,1841,15824.67,1592,13347.67,249,2477.00
23,14,HLC,1363,12308.54,1164,10043.54,199,2265.00
0,15,HLC,641,5839.34,566,4865.84,75,973.50
1,15,HLC,250,2783.07,204,2020.57,46,762.50
2,15,HLC,156,2113.53,121,1387.03,35,726.50
3,15,HLC,166,2477.03,114,1415.03,52,1062.00
4,15,HLC,255,3407.78,188,2129.28,67,1278.50
5,15,HLC,1065,10795.94,880,7825.44,185,2970.50
6,15,HLC,3350,30878.86,2828,24197.86,522,6681.00
7,15,HLC,4139,38992.07,3483,30112.57,656,8879.50
8,15,HLC,4174,38770.99,3537,30419.99,637,8351.00
9,15,HLC,3660,34009.16,3076,26577.66,584,7431.50
10,15,HLC,2983,27298.92,2494,21526.42,489,5772.50
11,15,HLC,2891,26797.37,2406,20878.87,485,5918.50
12,15,HLC,2691,24561.17,2262,19544.67,429,5016.50
13,15,HLC,2935,26620.27,2502,21581.27,433,5039.00
14,15,HLC,3397,30701.71,2831,24138.21,566,6563.50
15,15,HLC,2970,26679.87,2488,21283.87,482,5396.00
16,15,HLC,2642,23645.50,2219,18828.00,423,4817.50
17,15,HLC,2404,21428.02,2049,17524.52,355,3903.50
18,15,HLC,2464,22132.62,2115,18105.12,349,4027.50
19,15,HLC,2646,23358.25,2295,19397.25,351,3961.00
20,15,HLC,2896,25241.18,2533,21445.68,363,3795.50
21,15,HLC,2206,19160.45,1915,16248.95,291,2911.50
22,15,HLC,1456,12794.39,1243,10529.89,213,2264.50
23,15,HLC,1170,10099.37,1018,8548.37,152,1551.00
0,16,HLC,814,7216.34,720,6174.34,94,1042.00
1,16,HLC,371,3216.60,327,2718.60,44,498.00
2,16,HLC,204,1848.27,168,1448.77,36,399.50
3,16,HLC,180,1757.05,150,1350.05,30,407.00
4,16,HLC,220,2092.28,185,1662.28,35,430.00
5,16,HLC,952,8826.56,819,7015.56,133,1811.00
6,16,HLC,2910,26446.93,2459,20889.93,451,5557.00
7,16,HLC,3472,32370.35,2934,25481.85,538,6888.50
8,16,HLC,3756,34737.49,3138,26755.99,618,7981.50
9,16,HLC,3346,30466.48,2838,24172.48,508,6294.00
10,16,HLC,2702,24581.51,2267,19388.01,435,5193.50
11,16,HLC,2612,23539.22,2199,18965.72,413,4573.50
12,16,HLC,2738,24719.51,2285,19575.01,453,5144.50
13,16,HLC,3083,27979.39,2594,22361.89,489,5617.50
14,16,HLC,3422,30486.16,2899,24686.16,523,5800.00
15,16,HLC,4040,36288.13,3366,28669.63,674,7618.50
16,16,HLC,3757,33639.25,3200,27488.75,557,6150.50
17,16,HLC,3426,30357.63,2962,25161.63,464,5196.00
18,16,HLC,3062,26763.30,2676,22708.80,386,4054.50
19,16,HLC,2678,23389.64,2285,19399.64,393,3990.00
20,16,HLC,2068,17991.66,1777,15134.16,291,2857.50
21,16,HLC,1758,15479.39,1493,12727.89,265,2751.50
22,16,HLC,1727,15028.66,1475,12505.66,252,2523.00
23,16,HLC,1619,14367.80,1406,12012.80,213,2355.00
0,17,HLC,1207,10808.82,1009,8778.32,198,2030.50
1,17,HLC,659,5953.10,554,4792.60,105,1160.50
2,17,HLC,358,3334.05,282,2591.05,76,743.00
3,17,HLC,286,2632.01,223,1947.01,63,685.00
4,17,HLC,237,2306.76,192,1765.26,45,541.50
5,17,HLC,453,4240.64,361,3166.64,92,1074.00
6,17,HLC,1038,9276.86,861,7281.86,177,1995.00
7,17,HLC,1422,12684.35,1200,10174.85,222,2509.50
8,17,HLC,2009,17578.86,1738,14899.86,271,2679.00
9,17,HLC,2524,22084.58,2159,18375.58,365,3709.00
10,17,HLC,2198,19464.82,1858,15869.32,340,3595.50
11,17,HLC,2528,22137.65,2168,18555.65,360,3582.00
12,17,HLC,2767,24293.63,2376,20350.63,391,3943.00
13,17,HLC,2850,24876.44,2410,20509.94,440,4366.50
14,17,HLC,3067,26813.73,2591,22178.73,476,4635.00
15,17,HLC,3240,28061.24,2775,23516.74,465,4544.50
16,17,HLC,3813,32618.58,3275,27687.08,538,4931.50
17,17,HLC,3939,33652.07,3419,28961.57,520,4690.50
18,17,HLC,3697,31629.57,3195,27079.57,502,4550.00
19,17,HLC,3520,30116.33,3049,25775.33,471,4341.00
20,17,HLC,2966,25341.34,2551,21613.84,415,3727.50
21,17,HLC,2782,23865.63,2373,20188.63,409,3677.00
22,17,HLC,2703,23025.56,2354,19956.06,349,3069.50
23,17,HLC,2437,20812.58,2157,18264.08,280,2548.50
0,18,HLC,1758,14301.08,1421,11337.08,337,2964.00
1,18,HLC,740,6341.09,643,5457.09,97,884.00
2,18,HLC,474,4039.22,391,3229.22,83,810.00
3,18,HLC,274,2343.52,229,1915.02,45,428.50
4,18,HLC,234,2031.03,192,1606.03,42,425.00
5,18,HLC,270,2373.53,215,1792.53,55,581.00
6,18,HLC,469,3901.84,403,3220.84,66,681.00
7,18,HLC,776,6693.10,661,5475.10,115,1218.00
8,18,HLC,1147,10009.32,1005,8531.82,142,1477.50
9,18,HLC,1658,14438.55,1461,12455.55,197,1983.00
10,18,HLC,2380,20509.01,2063,17520.51,317,2988.50
11,18,HLC,2686,23127.76,2335,19848.76,351,3279.00
12,18,HLC,3012,25860.08,2608,22132.58,404,3727.50
13,18,HLC,3090,26600.81,2653,22529.31,437,4071.50
14,18,HLC,3332,28565.27,2852,24116.27,480,4449.00
15,18,HLC,3527,30153.67,3013,25447.67,514,4706.00
16,18,HLC,3892,33325.44,3337,28302.94,555,5022.50
17,18,HLC,3833,32896.75,3308,28065.25,525,4831.50
18,18,HLC,3237,27277.88,2736,22595.38,501,4682.50
19,18,HLC,3067,26147.32,2674,22504.32,393,3643.00
20,18,HLC,2410,20597.09,2051,17365.09,359,3232.00
21,18,HLC,1789,15203.63,1509,12678.13,280,2525.50
22,18,HLC,1384,11825.53,1182,10021.53,202,1804.00
23,18,HLC,905,7767.56,788,6677.06,117,1090.50
0,19,HLC,482,4168.31,413,3496.81,69,671.50
1,19,HLC,148,1276.44,126,1061.44,22,215.00
2,19,HLC,126,1154.78,100,767.28,26,387.50
3,19,HLC,91,928.06,71,640.06,20,288.00
4,19,HLC,216,2223.58,173,1594.58,43,629.00
5,19,HLC,1088,10421.46,905,7957.46,183,2464.00
6,19,HLC,3390,30902.39,2858,24274.89,532,6627.50
7,19,HLC,3834,35308.95,3222,27766.45,612,7542.50
8,19,HLC,3787,34464.74,3213,27279.24,574,7185.50
9,19,HLC,3532,31840.07,2998,25512.57,534,6327.50
10,19,HLC,3108,28134.45,2593,22339.95,515,5794.50
11,19,HLC,2865,25967.59,2383,20612.09,482,5355.50
12,19,HLC,2853,25768.30,2359,20377.80,494,5390.50
13,19,HLC,2947,26512.42,2433,20911.92,514,5600.50
14,19,HLC,3542,31785.91,2926,24991.41,616,6794.50
15,19,HLC,3903,35481.68,3216,27419.18,687,8062.50
16,19,HLC,4027,35800.20,3429,29213.20,598,6587.00
17,19,HLC,3793,33564.07,3267,27621.57,526,5942.50
18,19,HLC,3827,33423.66,3337,28148.66,490,5275.00
19,19,HLC,3550,30819.68,3110,26254.18,440,4565.50
20,19,HLC,2641,23034.19,2308,19485.19,333,3549.00
21,19,HLC,1872,16145.79,1647,13926.29,225,2219.50
22,19,HLC,1478,12808.69,1300,11009.69,178,1799.00
23,19,HLC,926,7905.60,806,6716.10,120,1189.50
0,20,HLC,541,4900.56,466,4064.56,75,836.00
1,20,HLC,196,1805.41,159,1378.41,37,427.00
2,20,HLC,97,946.00,77,693.50,20,252.50
3,20,HLC,118,1281.04,98,959.04,20,322.00
4,20,HLC,221,2261.54,176,1642.04,45,619.50
5,20,HLC,1064,9837.65,913,7890.65,151,1947.00
6,20,HLC,3273,29630.96,2784,23610.96,489,6020.00
7,20,HLC,4299,39468.99,3639,31149.49,660,8319.50
8,20,HLC,4319,39616.07,3627,30979.57,692,8636.50
9,20,HLC,3759,34119.23,3196,27247.73,563,6871.50
10,20,HLC,3004,27383.64,2490,21465.14,514,5918.50
11,20,HLC,2951,26603.32,2475,21135.32,476,5468.00
12,20,HLC,2988,27062.36,2479,21319.86,509,5742.50
13,20,HLC,3443,30895.92,2873,24552.92,570,6343.00
14,20,HLC,3618,32599.35,3045,25995.85,573,6603.50
15,20,HLC,4094,36310.79,3468,29338.29,626,6972.50
16,20,HLC,4283,38090.20,3650,31009.20,633,7081.00
17,20,HLC,4025,35667.38,3468,29429.88,557,6237.50
18,20,HLC,3898,34226.30,3427,29228.80,471,4997.50
19,20,HLC,4020,34771.68,3488,29393.68,532,5378.00
20,20,HLC,3349,28957.93,2908,24647.43,441,4310.50
21,20,HLC,2043,17594.81,1781,15054.81,262,2540.00
22,20,HLC,1912,16641.10,1668,14232.60,244,2408.50
23,20,HLC,1283,11306.01,1098,9325.51,185,1980.50
0,21,HLC,808,7093.81,702,6078.81,106,1015.00
1,21,HLC,292,2678.58,243,2136.08,49,542.50
2,21,HLC,131,1269.78,107,969.78,24,300.00
3,21,HLC,96,925.29,73,661.79,23,263.50
4,21,HLC,209,2199.08,163,1513.58,46,685.50
5,21,HLC,965,9025.34,806,6912.34,159,2113.00
6,21,HLC,3236,29563.95,2698,22991.45,538,6572.50
7,21,HLC,4010,36794.64,3367,28846.64,643,7948.00
8,21,HLC,3944,35917.28,3282,28082.28,662,7835.00
9,21,HLC,4117,37695.81,3436,29469.31,681,8226.50
10,21,HLC,3679,33066.49,3057,26375.99,622,6690.50
11,21,HLC,3536,31960.69,2928,25233.69,608,6727.00
12,21,HLC,1963,17996.24,1575,13449.24,388,4547.00
13,21,HLC,2320,21274.77,1873,16015.77,447,5259.00
14,21,HLC,3852,34988.31,3210,27705.81,642,7282.50
15,21,HLC,4150,37026.57,3438,29154.57,712,7872.00
16,21,HLC,4089,36611.57,3455,29526.07,634,7085.50
17,21,HLC,3893,34539.18,3311,28265.68,582,6273.50
18,21,HLC,3323,29008.84,2861,24233.34,462,4775.50
19,21,HLC,2809,24509.69,2370,20057.19,439,4452.50
20,21,HLC,2272,19753.90,1969,16674.90,303,3079.00
21,21,HLC,1906,16284.12,1604,13463.62,302,2820.50
22,21,HLC,1909,16445.65,1613,13587.65,296,2858.00
23,21,HLC,1203,10381.15,1027,8751.15,176,1630.00
0,22,HLC,648,5604.47,538,4569.97,110,1034.50
1,22,HLC,338,3010.07,282,2409.57,56,600.50
2,22,HLC,242,2175.18,190,1634.68,52,540.50
3,22,HLC,226,1945.84,184,1526.84,42,419.00
4,22,HLC,285,2406.27,233,1859.77,52,546.50
5,22,HLC,375,3228.68,328,2660.18,47,568.50
6,22,HLC,608,5154.07,533,4283.07,75,871.00
7,22,HLC,752,6338.43,649,5306.93,103,1031.50
8,22,HLC,814,7101.24,698,5863.74,116,1237.50
9,22,HLC,941,8201.10,807,6858.10,134,1343.00
10,22,HLC,1346,11543.82,1133,9537.82,213,2006.00
11,22,HLC,2122,18069.31,1857,15571.81,265,2497.50
12,22,HLC,3022,25836.29,2587,21670.79,435,4165.50
13,22,HLC,3301,28186.82,2877,24318.32,424,3868.50
14,22,HLC,3421,28951.32,2962,24909.32,459,4042.00
15,22,HLC,3171,26961.91,2708,22812.91,463,4149.00
16,22,HLC,2540,21705.69,2113,17892.69,427,3813.00
17,22,HLC,2093,17940.21,1740,14730.71,353,3209.50
18,22,HLC,1904,16262.26,1588,13401.26,316,2861.00
19,22,HLC,2226,19007.26,1931,16366.26,295,2641.00
20,22,HLC,2594,22122.58,2273,19306.08,321,2816.50
21,22,HLC,2756,23562.22,2415,20493.72,341,3068.50
22,22,HLC,2560,21824.09,2188,18557.59,372,3266.50
23,22,HLC,1951,16646.82,1627,13765.32,324,2881.50
0,23,HLC,689,5922.30,567,4799.30,122,1123.00
1,23,HLC,261,2305.78,218,1872.28,43,433.50
2,23,HLC,154,1349.65,120,1007.15,34,342.50
3,23,HLC,94,966.50,74,704.00,20,262.50
4,23,HLC,118,1050.00,92,713.50,26,336.50
5,23,HLC,425,3868.49,356,3012.99,69,855.50
6,23,HLC,1237,11181.31,1064,8995.31,173,2186.00
7,23,HLC,1504,14190.50,1264,10940.50,240,3250.00
8,23,HLC,1715,15816.19,1443,12307.19,272,3509.00
9,23,HLC,1823,16620.26,1531,13102.26,292,3518.00
10,23,HLC,1812,16108.76,1508,12842.76,304,3266.00
11,23,HLC,1953,17395.65,1620,13870.15,333,3525.50
12,23,HLC,2300,20165.97,1940,16470.97,360,3695.00
13,23,HLC,2793,24726.91,2375,20423.41,418,4303.50
14,23,HLC,2925,25689.75,2461,20862.25,464,4827.50
15,23,HLC,2916,25396.37,2448,20601.87,468,4794.50
16,23,HLC,2787,24308.66,2339,19755.66,448,4553.00
17,23,HLC,2451,21345.65,2064,17496.65,387,3849.00
18,23,HLC,2196,18968.17,1880,15886.17,316,3082.00
19,23,HLC,1634,14099.85,1334,11222.85,300,2877.00
20,23,HLC,1448,12469.30,1198,10089.30,250,2380.00
21,23,HLC,1165,10088.56,946,7991.56,219,2097.00
22,23,HLC,1232,10489.86,1051,8828.86,181,1661.00
23,23,HLC,948,8125.85,796,6693.35,152,1432.50
0,24,HLC,509,4456.31,427,3679.31,82,777.00
1,24,HLC,301,2729.19,227,1973.69,74,755.50
2,24,HLC,199,1769.26,154,1294.26,45,475.00
3,24,HLC,149,1347.26,128,1134.76,21,212.50
4,24,HLC,157,1411.01,132,1130.51,25,280.50
5,24,HLC,244,2155.30,214,1786.30,30,369.00
6,24,HLC,549,4789.54,462,3802.04,87,987.50
7,24,HLC,702,6280.06,584,4955.06,118,1325.00
8,24,HLC,1059,9495.85,895,7743.35,164,1752.50
9,24,HLC,1287,11484.28,1088,9345.28,199,2139.00
10,24,HLC,1508,13470.29,1275,11116.79,233,2353.50
11,24,HLC,1857,16445.94,1586,13676.94,271,2769.00
12,24,HLC,2114,18518.47,1798,15405.97,316,3112.50
13,24,HLC,2125,18474.05,1775,15142.05,350,3332.00
14,24,HLC,2347,20099.07,1959,16565.07,388,3534.00
15,24,HLC,2725,23400.62,2313,19524.62,412,3876.00
16,24,HLC,2900,24923.84,2465,20843.84,435,4080.00
17,24,HLC,3067,26469.99,2626,22329.49,441,4140.50
18,24,HLC,2985,25501.05,2520,21356.05,465,4145.00
19,24,HLC,2918,24894.19,2502,21187.19,416,3707.00
20,24,HLC,2643,22684.69,2295,19577.19,348,3107.50
21,24,HLC,2320,19878.08,1979,16838.58,341,3039.50
22,24,HLC,2230,18975.05,1940,16413.05,290,2562.00
23,24,HLC,1961,16709.54,1667,14102.54,294,2607.00
0,25,HLC,1179,10105.28,1004,8585.28,175,1520.00
1,25,HLC,712,6108.58,597,5074.08,115,1034.50
2,25,HLC,365,3075.78,295,2444.28,70,631.50
3,25,HLC,226,1971.50,189,1597.50,37,374.00
4,25,HLC,175,1477.01,129,1025.51,46,451.50
5,25,HLC,210,1879.78,171,1393.78,39,486.00
6,25,HLC,401,3497.05,346,2877.55,55,619.50
7,25,HLC,651,5868.78,526,4460.78,125,1408.00
8,25,HLC,910,8121.10,776,6704.10,134,1417.00
9,25,HLC,1459,12595.52,1244,10476.52,215,2119.00
10,25,HLC,2137,18440.30,1866,15847.80,271,2592.50
11,25,HLC,2694,23367.30,2280,19520.30,414,3847.00
12,25,HLC,2525,21839.04,2120,18046.04,405,3793.00
13,25,HLC,3238,27917.05,2755,23364.55,483,4552.50
14,25,HLC,3329,28630.61,2819,23945.11,510,4685.50
15,25,HLC,3195,27490.39,2743,23364.89,452,4125.50
16,25,HLC,3634,31107.84,3095,26253.84,539,4854.00
17,25,HLC,3694,31665.30,3181,27013.80,513,4651.50
18,25,HLC,3615,30865.97,3089,26108.97,526,4757.00
19,25,HLC,3120,26630.68,2645,22451.18,475,4179.50
20,25,HLC,2549,21863.51,2166,18438.01,383,3425.50
21,25,HLC,1894,16269.54,1564,13303.54,330,2966.00
22,25,HLC,1318,11226.05,1097,9204.55,221,2021.50
23,25,HLC,863,7431.84,722,6134.84,141,1297.00
0,11,QMT,3342,28615.74,2691,22887.24,651,5728.50
1,11,QMT,2472,21171.41,2022,17212.91,450,3958.50
2,11,QMT,1554,13302.01,1263,10657.51,291,2644.50
3,11,QMT,1174,10029.28,956,8122.78,218,1906.50
4,11,QMT,1170,10050.26,969,8227.76,201,1822.50
5,11,QMT,1057,9138.66,875,7396.66,182,1742.00
